date,area,status,next_action,owner,safety_gate,evidence_path,notes
2026-06-16,Priority board,11 ranked candidates,"Review the top ranked item first, then decide whether to approve promotion.",Daniel,Ranking is not approval,.agent/memory/working/priority_board.csv,"Priority score combines evidence strength, niche fit, website opportunity, and concept readiness."
2026-06-16,Research queue,7 candidates need more evidence,Continue research-only verification for social profiles and owned website gaps.,Codex,"Research-only; no account login, contact, forms, DMs, or calls",.agent/memory/working/research_queue.csv,Log each source checked in research_attempts.csv.
2026-06-16,Research controller,25 ranked source lanes,"Work the highest-ranked safe lane, then log the result before adding any intake evidence.",Codex,"Research-only; no account login, contact, forms, DMs, calls, or social interaction",.agent/memory/working/research_controller.csv,Turns the source plan into a daily research priority order.
2026-06-16,Regional coverage heatmap,25 region/niche lanes scored,Use top under-covered lanes for research-only sourcing before repeating saturated searches.,Codex,Heatmap is research-only and cannot approve capture or outreach,.agent/memory/working/regional_coverage_heatmap.csv,"Balances Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park."
2026-06-16,Research experiments,12 safe experiment routes,"Run the top experiment as research-only, then capture strong evidence or log a failed attempt.",Codex,Experiments are research-only and do not approve contact or capture weak evidence,.agent/memory/working/research_experiments.csv,Converts failed broad searches into deliberate source-route tests.
2026-06-16,Source pivot plan,2 candidates need alternate source-family research,Use pivot queries when named social searches have failed repeatedly.,Codex,"Pivot research is research-only and cannot approve capture, promotion, or outreach",.agent/memory/working/source_pivot_plan.csv,"Prevents repeated failed social searches by shifting to directories, official sources, or tourism/council sources."
2026-06-16,Research suppression list,2 repeated failed query patterns suppressed,Use suppression rows to avoid repeating weak public searches until a stronger source family appears.,Codex,Suppression is advisory research memory only and cannot approve capture or outreach,.agent/memory/working/research_suppression_list.csv,This is the self-regulating layer for failed source patterns.
2026-06-16,Council debates,6 active debate records / 7 council routes,Use council verdicts as advisory decision pressure before any gated action.,Codex,Council verdicts do not approve gated external actions,.agent/memory/working/council_debates.csv,"Every debate includes best case, hard pushback, split, verdict, and next test."
2026-06-16,Council quality,6 debate quality checks,Regenerate council debates if any quality_status is needs-rework.,Codex,Council quality does not approve gated actions,.agent/memory/working/council_quality_audit.csv,"Checks for real disagreement, verdict, next test, evidence, and safety gate."
2026-06-16,Council CEO brief,6 ranked boardroom guidance items,Use the brief to choose the next supervised move while keeping blocked actions blocked.,Codex,CEO brief is advisory and cannot approve gated actions,.agent/memory/working/council_ceo_brief.csv,"Summarizes council arguments, objections, uncomfortable truths, allowed moves, and Daniel decisions needed."
2026-06-16,Council decision gates,7 action-to-council gates,Check gate_status before using any council verdict to justify an action.,Codex,Council gates do not replace Daniel approval or action permissions,.agent/memory/working/council_decision_gates.csv,Prevents a council recommendation from being mistaken for permission.
2026-06-16,Automation status,2 automation configs checked,"Keep prospect scanning active, research-only, and tied to log/capture gates.",Codex,Automation may research and stage only; no outreach or promotion,.agent/memory/working/automation_status.csv,Verifies actual Codex automation config rather than a static note.
2026-06-16,Action permissions,7 allowed/blocked action checks,"Use blocked_until fields before taking any promotion, outreach, GitHub, or publishing step.",Codex,Permission map is advisory but binding for autonomous actions,.agent/memory/working/action_permissions.csv,Turns safety gates into operational action states.
2026-06-16,Private concepts,4 internal concept pages generated,Use concepts only for internal review until a prospect and outreach approval exist.,Codex,Do not publish or send concepts,.agent/memory/working/private_concepts.csv,"Concepts are planning assets, not client-facing promises."
2026-06-16,GitHub workflow,4 local issue drafts prepared,Create GitHub issues only after Daniel approves the exact issue creation workflow.,Daniel,No remote issue creation without explicit approval,.agent/memory/working/github_issue_drafts.csv,Drafts are local Markdown only.
2026-06-16,GitHub readiness,4 local readiness checks,Fix any local mismatch before asking Daniel to approve remote issue creation.,Codex,Readiness does not approve remote GitHub writes,.agent/memory/working/github_readiness_audit.csv,"Checks packet, issue draft, execution plan, command artifact, title/label match, and lock status."
2026-06-16,GitHub execution plan,4 local issue creation commands prepared,Execute only after Daniel approves exact remote issue creation.,Daniel,No remote GitHub writes without approval,.agent/memory/working/github_execution_plan.csv,"The generated command file is a plan, not permission to run it."
2026-06-16,Outreach,0 logged outreach events / 0 approved prospects,Keep outreach disabled until prospects are promoted and outreach drafts are separately approved.,Daniel,Explicit outreach approval required,.agent/memory/working/outreach_log.csv,"No email, SMS, DM, form submission, social post, or call."
