date,business,query,source_checked,result,next_action,notes
2026-06-16,Capricorn Coast salon beauty barber lane,Capricorn Coast salon beauty barber Facebook Instagram website,https://en.wikipedia.org/wiki/Capricorn_Coast,no_verified_business_candidate_found,"Try named salon searches, local directory pages, and Google Business Profile style results before staging evidence",Public web search returned regional background pages rather than verified business-owned social profiles. No intake row added.
2026-06-16,Emu Park cafe restaurant bar catering lane,Emu Park cafe restaurant bar catering Facebook Instagram website,https://en.wikipedia.org/wiki/Emu_Park%2C_Queensland,no_verified_business_candidate_found,"Try named Emu Park cafe, hotel, bakery, and takeaway searches plus local directory pages before staging evidence",Public search returned locality/background results rather than verified business-owned social profiles. No intake row added.
2026-06-16,Emu Park salon beauty barber lane,Emu Park salon beauty barber Facebook Instagram website,https://en.wikipedia.org/wiki/Emu_Park%2C_Queensland,no_verified_business_candidate_found,Try named Emu Park hair and beauty businesses from local directories before staging evidence,Public search returned locality/background results rather than verified business-owned social profiles. No intake row added.
2026-06-16,Capricorn Coast cleaning pest control source-route test,Capricorn Coast cleaning site:facebook.com; Capricorn Coast pest control site:facebook.com; Capricorn Coast termite site:facebook.com; Capricorn Coast carpet cleaning site:facebook.com,https://www.facebook.com,no_verified_business_candidate_found,"Try Capricorn Enterprise, Yeppoon Capricorn Coast, and named cleaning/pest business searches before staging evidence",Targeted public-page source-route search returned no usable public results through the available search index. No intake row added.
2026-06-16,Kawana Rockhampton art gallery workshops market lane,"""Kawana Rockhampton"" ""art gallery workshops market"" Facebook Instagram website",https://en.wikipedia.org/wiki/Kawana%2C_Queensland_%28Rockhampton%29,no_verified_business_candidate_found,Try Rockhampton gallery and market sources outside the Kawana-only wording.,Search returned locality pages rather than a business-owned social profile; no capture performed.
2026-06-16,Kawana Rockhampton cleaning pest control lane,"""Kawana Rockhampton"" ""cleaning pest control"" Facebook Instagram website",https://en.wikipedia.org/wiki/Glenmore_Homestead%2C_Rockhampton,no_verified_business_candidate_found,Try Glenmore and North Rockhampton cleaning or pest control source routes.,Search returned heritage or locality pages rather than a business-owned social profile; no capture performed.
2026-06-16,Yeppoon cleaning pest control source-route test,"""Yeppoon"" ""cleaning"" site:facebook.com; Yeppoon cleaning services Facebook; Yeppoon bond cleaning Facebook",https://www.facebook.com/search/pages/?q=Yeppoon%20cleaning,no_verified_business_candidate_found,"Try named Yeppoon cleaning businesses, directories, and Google Business Profile style sources before staging evidence.",Research-only search route returned no usable public business-owned social profile through the available search index; no intake row added.
2026-06-16,Capricorn Coast gallery source-route test,"""Capricorn Coast"" ""gallery"" site:facebook.com; ""Yeppoon"" ""gallery"" site:facebook.com",https://www.facebook.com/search/pages/?q=Capricorn%20Coast%20gallery,no_verified_business_candidate_found,Try named gallery searches for The Mill Gallery and Emu Park art/community arts sources before staging evidence.,Research-only source-route search returned locality/background results rather than a verified business-owned social profile; no intake row added.
2026-06-16,Capricorn Coast cafe restaurant source-route test,"""Capricorn Coast"" ""cafe"" site:facebook.com; ""Capricorn Coast"" cafe Facebook; ""Yeppoon"" cafe site:facebook.com",https://www.facebook.com/search/pages/?q=Capricorn%20Coast%20cafe,no_verified_business_candidate_found,Try named cafe and venue searches from local directories before staging evidence.,Research-only source-route search returned regional/background material rather than a verified business-owned social profile; no intake row added.
2026-06-16,The Mill Gallery,"""The Mill Gallery"" ""Yeppoon"" Facebook Instagram website; ""The Mill Gallery"" ""Normanby Street"" Yeppoon; ""The Mill Gallery"" Yeppoon",https://yeppooncapricorncoast.com.au/art-galleries/,no_verified_social_found,Keep candidate in research-more; try tourism/local arts directories or direct named social checks before staging social evidence.,Research-only named-candidate search did not return a verified public business-owned social profile in the available search index; no intake change.
2026-06-16,The Gallery - Emu Park,"""The Gallery - Emu Park"" ""Emu Park"" Facebook Instagram website; ""The Gallery"" ""Emu Park"" ""Pattison""; ""Emu Park Community Arts Centre"" Facebook",https://yeppooncapricorncoast.com.au/art-galleries/,no_verified_social_found,Keep candidate in research-more; try Livingstone Shire arts pages or official community arts sources before staging social evidence.,Research-only named-candidate search returned locality/background material rather than a verified business-owned social profile; no intake change.
2026-06-16,The Gallery - Emu Park,"""The Gallery - Emu Park"" ""Emu Park"" ""https://yeppooncapricorncoast.com.au/art-galleries/""",https://yeppooncapricorncoast.com.au/art-galleries/,no_verified_social_found,"Use official arts, map, or local directory sources before repeating social search.",Tourism page verifies the gallery listing and address but did not provide business-owned social evidence. Research only; no outreach performed.
2026-06-16,The Mill Gallery,"""The Mill Gallery"" ""Yeppoon"" ""https://yeppooncapricorncoast.com.au/art-galleries/""",https://yeppooncapricorncoast.com.au/art-galleries/,no_verified_social_found,"Use official arts, map, or local directory sources before repeating social search.",Tourism page verifies the gallery listing and address but did not provide business-owned social evidence. Research only; no outreach performed.
2026-06-16,Kawana Rockhampton landscaping excavation lane,"""Kawana Rockhampton"" ""landscaping excavation mini digger"" Facebook Instagram website","https://en.wikipedia.org/wiki/Kawana,_Queensland_(Rockhampton)",no_verified_business_candidate_found,Try a higher-quality public source family for Rockhampton landscaping and excavation before repeating broad social search.,Search surfaced regional context for Kawana but no verified business-owned social profile for the landscaping excavation lane. Research only; no outreach performed.
2026-06-16,Kawana Rockhampton salon beauty barber lane,"""Kawana Rockhampton"" ""salon beauty barber"" Facebook Instagram website","https://en.wikipedia.org/wiki/Kawana,_Queensland_(Rockhampton)",no_verified_business_candidate_found,Try named North Rockhampton or Rockhampton salon directory sources before repeating broad social search.,"Search surfaced Kawana regional context but no verified business-owned salon, beauty, or barber social profile in the available public search results. Research only; no outreach performed."
2026-06-16,Yeppoon landscaping excavation mini digger lane,"""Yeppoon"" ""landscaping excavation mini digger"" Facebook Instagram website",https://en.wikipedia.org/wiki/Yeppoon,no_verified_business_candidate_found,Try named Yeppoon landscaping or excavation businesses from local directories before repeating broad social search.,"Search surfaced Yeppoon locality context but no verified business-owned landscaping, excavation, or mini digger social profile in the available public search results. Research only; no outreach performed."
2026-06-16,Yeppoon salon beauty barber lane,"""Yeppoon"" ""salon beauty barber"" Facebook Instagram website",https://en.wikipedia.org/wiki/Yeppoon,no_verified_business_candidate_found,"Try named Yeppoon hairdresser, beauty, and barber businesses from local directories before repeating broad social search.","Search surfaced Yeppoon locality/background and unrelated heritage barber pages, but no verified business-owned Yeppoon salon, beauty, or barber social profile. Research only; no outreach performed."
2026-06-16,Capricorn Coast landscaping excavation mini digger source-route,"""Capricorn Coast"" ""landscaping"" site:facebook.com; ""Capricorn Coast"" ""earthmoving"" site:facebook.com; ""Capricorn Coast"" ""excavation"" site:facebook.com; ""Capricorn Coast"" ""mini digger"" site:facebook.com",https://www.facebook.com/search/pages/?q=Capricorn%20Coast%20landscaping,no_verified_business_candidate_found,Try named Capricorn Coast trade businesses from local directories or ABN-style public sources before repeating Facebook search.,"Higher-quality public source route did not return a verified business-owned landscaping, excavation, earthmoving, or mini digger social profile in the available search index. Research only; no outreach performed."
2026-06-16,Capricorn Coast salon beauty barber source-route,"""Capricorn Coast"" ""hair salon"" site:facebook.com; ""Capricorn Coast"" ""beauty"" site:facebook.com; ""Capricorn Coast"" ""barber"" site:facebook.com; ""Capricorn Enterprise"" ""beauty"" ""Capricorn Coast""",https://www.facebook.com/search/pages/?q=Capricorn%20Coast%20hair%20salon,no_verified_business_candidate_found,"Try named Capricorn Coast hair, beauty, skin, or barber businesses from directory pages before repeating broad Facebook search.","Higher-quality public source route returned regional/background material rather than a verified business-owned salon, beauty, skin, or barber social profile. Research only; no outreach performed."
2026-06-16,Pine Beach Hotel,Pine Beach Hotel Emu Park Facebook Instagram website menu,https://pinebeachhotel.com.au/; https://pinebeachhotel.com.au/contact/,verified_candidate_found,Run CEO loop; review intake evidence and approval queue before any promotion.,Candidate staged in prospect_intake.csv from public evidence only; no outreach performed.
2026-06-16,Emu Park salon beauty barber lane,Emu Park hair salon Facebook Instagram website; Emu Park beauty salon Facebook Instagram website; Emu Park barber Facebook Instagram website; Emu Park hairdresser Facebook,https://en.wikipedia.org/wiki/Emu_Park%2C_Queensland,no_verified_business_candidate_found,"Try named salon, beauty, skin, nail, and barber businesses from non-search public directories before repeating broad social search.","Research-only pass returned locality/background material rather than verified business-owned salon, beauty, or barber social profiles; no intake row added and no outreach performed."
2026-06-17,CocoBrew Riverfront,"""Kawana Rockhampton"" ""cafe restaurant bar catering"" Facebook Instagram website; ""CocoBrew Riverfront"" Rockhampton website social",https://www.cocobrew.com.au/,verified_candidate_found,"Check the venue site for visible social evidence and a concrete website-gap note, then refresh intake evidence before CEO loop.",Group site confirms CocoBrew Riverfront as a 2026 Rockhampton venue within the local hospitality brand family. Research only; no outreach or promotion performed.
2026-06-17,CocoBrew Riverfront,"""Kawana Rockhampton"" ""cafe restaurant bar catering"" Facebook Instagram website; ""CocoBrew Riverfront"" Rockhampton website social",https://cocobrewriverfront.com.au/,verified_candidate_found,"Refresh intake evidence with public social presence and website-gap observations, then run CEO loop.","Riverfront site shows public Facebook and Instagram icons plus booking and order links, but no dedicated functions/events or venue-story landing path in the visible nav/content. Research only; no outreach or promotion performed."
2026-06-17,CocoBrew Riverfront,"""Kawana Rockhampton"" ""cafe restaurant bar catering"" Facebook Instagram website; ""CocoBrew Riverfront"" Rockhampton website social",https://www.cocobrew.com.au/; https://cocobrewriverfront.com.au/,verified_candidate_found,Run CEO loop; review intake evidence and approval queue before any promotion.,Candidate staged in prospect_intake.csv from public evidence only; no outreach performed.
2026-06-17,Kawana Rockhampton art gallery workshops market lane,"""Kawana Rockhampton"" ""art gallery workshops market"" Facebook Instagram website; ""Rockhampton Heritage Village"" Facebook page; ""Rockhampton Museum of Art"" Facebook page",https://en.wikipedia.org/wiki/Rockhampton_Heritage_Village,no_verified_business_candidate_found,"Try a private or volunteer-run Rockhampton gallery, workshop, or market source before repeating council venue research.","Public source verifies Heritage Village events and markets, but the venue is council-owned and does not provide the business-owned social evidence needed to safely stage a prospect candidate."
2026-06-17,Kawana Rockhampton art gallery workshops market lane,"""Kawana Rockhampton"" ""art gallery workshops market"" Facebook Instagram website; ""Rockhampton Heritage Village"" Facebook page; ""Rockhampton Museum of Art"" Facebook page",https://en.wikipedia.org/wiki/Rockhampton_Museum_of_Art,no_verified_business_candidate_found,"Try a private or volunteer-run Rockhampton gallery, workshop, or market source before repeating council venue research.","Public source verifies the Rockhampton Museum of Art website and role in local art activity, but it is council-owned and not a weak-site private prospect for this outreach lane."
2026-06-17,Rockhampton Heritage Village official site,"""Kawana Rockhampton"" ""art gallery workshops market"" Facebook Instagram website; official heritage village page",https://www.rockhamptonregion.qld.gov.au/FacilitiesRecreation/Heritage-Village,source_unavailable,Use other public sources already visible in search results or return to private candidate discovery for this lane.,"Direct fetch from the official Heritage Village page was unavailable through the current browsing cache, so no additional evidence was derived from it."
2026-06-17,Kawana Rockhampton cleaning pest control lane,"""Kawana Rockhampton"" ""cleaning pest control"" Facebook Instagram website; Rockhampton pest control Facebook website Queensland",https://www.facebook.com/search/pages/?q=Rockhampton%20pest%20control,source_unavailable,Try a named private operator source or a non-search public directory route before repeating broad pest-control social search.,Public Facebook page-search route did not yield a usable verifiable business-owned candidate through the currently available search surfaces. Research only; no outreach or account interaction performed.
2026-06-17,Kawana Rockhampton cleaning pest control lane,"""Kawana Rockhampton"" ""cleaning pest control"" Facebook Instagram website; direct directory route for Rockhampton pest control",https://www.yellowpages.com.au/search/listings?clue=pest+control&locationClue=Rockhampton+Qld,source_unavailable,Move to a different public source family or switch to the next top lane if access quality stays weak.,"Direct directory route was blocked by the browser security policy in this environment, so no reliable candidate evidence could be extracted from that public source during this pass."
2026-06-17,The Mill Gallery,"""The Mill Gallery"" ""Yeppoon"" gallery workshop official; ""The Mill Gallery"" ""31 Normanby Street""; public web source-family pivot",https://yeppooncapricorncoast.com.au/art-galleries/,no_verified_social_found,Keep in research-more; try local arts/community sources or direct business-owned profile verification before promotion.,Source-family pivot found only tourism/directory evidence for identity and workshop activity; no business-owned social profile or owned site verified. Research only; no outreach or promotion performed.
2026-06-17,The Gallery - Emu Park,"""The Gallery - Emu Park"" ""Emu Park"" gallery workshop official; ""The Gallery"" ""42 Pattison Street""; public web source-family pivot",https://yeppooncapricorncoast.com.au/art-galleries/,no_verified_social_found,Keep in research-more; try Livingstone Shire arts/community sources or direct business-owned profile verification before promotion.,Source-family pivot found only tourism/directory evidence for identity and location; no business-owned social profile or owned site verified. Research only; no outreach or promotion performed.
2026-06-18,Kawana Rockhampton landscaping excavation lane,"""Kawana Rockhampton"" ""landscaping excavation mini digger"" Facebook Instagram website; Google business-profile style search",https://www.google.com/search?q=Kawana+Rockhampton+landscaping+excavation+mini+digger+Facebook+Instagram+website,rejected_unsafe_source,Do not use Google in this environment; continue with non-Google public directories and owned-page verification only.,"Google search was rejected by the current browser security policy because that source is disallowed in this environment, so the route was not pursued further."
2026-06-18,Kawana Rockhampton landscaping excavation lane,"""Kawana Rockhampton"" ""landscaping excavation mini digger"" Facebook Instagram website; Yellow Pages Rockhampton landscaping",https://www.yellowpages.com.au/search/listings?clue=landscaping&locationClue=Rockhampton+Qld,source_unavailable,Use a different public source family because this directory route is blocked in the current environment.,"Public directory URL was attempted during this run but browser access was blocked by the current security policy, so no reliable candidate evidence could be extracted from it."
2026-06-18,Kawana Rockhampton landscaping excavation lane,"""Kawana Rockhampton"" ""landscaping excavation mini digger"" Facebook Instagram website; Capricorn Enterprise members directory",https://capricornenterprise.com.au/membership/members-directory/,no_verified_business_candidate_found,Try another public Rockhampton directory or a named private trade candidate route before repeating this lane.,"Accessible public members directory reviewed in this run; available member pages did not expose a clear landscaping, excavation, earthmoving, or mini digger candidate with business-owned social evidence and a website gap."
2026-06-19,Kawana Rockhampton salon beauty barber lane,"""Kawana Rockhampton"" ""hair salon"" site:facebook.com",https://www.facebook.com/search/pages/?q=Kawana%20Rockhampton%20hair%20salon,no_verified_business_candidate_found,Use named Rockhampton salon candidates from public articles or directories before repeating broad social search.,Targeted public-page route did not surface a verifiable Kawana or North Rockhampton salon candidate through the available search surfaces in this run. Research only; no outreach or promotion performed.
2026-06-19,Thieves and Beggars,"""Thieves and Beggars"" Rockhampton site:facebook.com",https://www.facebook.com/search/pages/?q=Thieves%20and%20Beggars%20Rockhampton,source_unavailable,Try a different public source family for the business because the Facebook page-search route is not yielding a usable page in this environment.,"Attempted public Facebook page-search route for the named Rockhampton barber candidate, but the route was not usable through the currently available search surfaces. Research only; no outreach or promotion performed."
2026-06-19,Thieves and Beggars,Thieves and Beggars Rockhampton Facebook Instagram website,https://www.couriermail.com.au/news/queensland/rockhampton/business/thieves-and-beggars-owners-offering-free-haircuts-to-mater-hospital-patients/news-story/ee53d669caafd1556092abdd158fdf82,no_verified_social_found,Find a second public source that exposes a business-owned Facebook or Instagram profile before staging this candidate.,"Public news coverage confirms Thieves and Beggars is a Rockhampton barber business, but this source did not expose a verifiable business-owned social URL or website state. Research only; no outreach or promotion performed."
2026-06-22,Yeppoon cleaning pest control lane,"""Yeppoon"" ""cleaning services"" Facebook Instagram website; public Facebook page route",https://www.facebook.com/search/pages/?q=Yeppoon%20cleaning,source_unavailable,Use a materially different public source family or wait for a verifiable named business source before repeating this Facebook route.,Public Facebook page-search route for Yeppoon cleaning returned no usable result in the available web cache and is blocked by current browser security policy. Research only; no outreach or account interaction performed.
2026-06-22,Yeppoon cleaning pest control lane,"""Yeppoon"" ""pest control"" Facebook Instagram website; public Facebook page route",https://www.facebook.com/search/pages/?q=Yeppoon%20pest%20control,source_unavailable,Use a materially different public source family or wait for a verifiable named business source before repeating this Facebook route.,Public Facebook page-search route for Yeppoon pest control returned no usable result in the available web cache and is blocked by current browser security policy. Research only; no outreach or account interaction performed.
2026-06-22,Yeppoon cleaning pest control lane,"""Yeppoon"" ""cleaning pest control"" Facebook Instagram website",https://en.wikipedia.org/wiki/Yeppoon,no_verified_business_candidate_found,Move to a named public business source or a safer directory source if one becomes available; the generic locality route is too noisy.,Focused web search for the top-ranked Yeppoon cleaning/pest lane surfaced locality/background material rather than a verifiable business-owned social profile or clear website-gap candidate. Research only; no outreach performed.
2026-06-22,Yeppoon cleaning pest control lane,"""Yeppoon"" ""termite"" Facebook Instagram website; public Facebook page route",https://www.facebook.com/search/pages/?q=Yeppoon%20termite,source_unavailable,Use a materially different public source family or wait for a verifiable named business source before repeating this Facebook route.,Public Facebook page-search route for Yeppoon termite services returned no usable result in the available web cache and is blocked by current browser security policy. Research only; no outreach or account interaction performed.
2026-06-23,Yeppoon landscaping excavation mini digger lane,"""Yeppoon"" ""landscaping"" site:facebook.com",https://www.facebook.com/search/pages/?q=Yeppoon%20landscaping,source_unavailable,Use a different public source family or wait for a verifiable named business source before repeating this Facebook route.,"Public Facebook page-search route for Yeppoon landscaping returned HTTP 404 in this environment, so no usable public business-owned social profile could be verified. Research only; no outreach or account interaction performed."
2026-06-23,Yeppoon landscaping excavation mini digger lane,"""Capricorn Enterprise"" ""landscaping"" ""Yeppoon""",https://capricornenterprise.com.au/membership/members-directory/,no_verified_business_candidate_found,Try a named private trade candidate route or another non-Facebook public source before repeating this lane.,"Capricorn Enterprise members directory was accessible, but the fetched public directory content did not expose a verifiable Yeppoon landscaping, excavation, earthmoving, or mini digger candidate with business-owned social evidence and a clear website gap. Research only; no outreach performed."
2026-06-23,Yeppoon landscaping excavation mini digger lane,"""Yeppoon Capricorn Coast"" ""landscaping"" ""Yeppoon""",https://yeppooncapricorncoast.com.au/?s=landscaping,no_verified_business_candidate_found,Use a business directory or named trade candidate source rather than the tourism site search before repeating this lane.,"Yeppoon Capricorn Coast search results for landscaping surfaced only the tourism site context and its own social links, not a private landscaping, excavation, earthmoving, or mini digger business with verifiable business-owned social evidence. Research only; no outreach performed."
2026-06-24,Her. Hair,Her. Hair Yeppoon website,https://html.duckduckgo.com/html/?q=Her.%20Hair%20Yeppoon%20website,no_verified_social_found,Use the public Facebook page and exact named search evidence to decide whether the website gap is strong enough for intake staging.,"Exact named search surfaced the Her. Hair Facebook page and generic directories, but no clear dedicated owned website in the visible result set. Research only; no outreach performed."
"no outreach performed.""",,,,,,
2026-06-24,Ella Anderson beauty,Ella Anderson beauty Yeppoon Facebook,https://www.facebook.com/ellaandersonbeauty,verified_candidate_found,Pair this source with Instagram and named search evidence before staging.,Public Facebook metadata identifies Ella Anderson beauty as a Yeppoon QLD page and references the eabeauty.studio Instagram handle. Research only; no outreach performed.
2026-06-24,Ella Anderson beauty,EA Beauty Studio Instagram Yeppoon,https://www.instagram.com/eabeauty.studio/,verified_candidate_found,Stage with a website-gap note if the exact named search still shows social-first presence rather than a dedicated owned website.,Public Instagram metadata shows eabeauty.studio with Yeppoon makeup and beauty studio branding and active post volume. Research only; no outreach performed.
2026-06-24,Ella Anderson beauty,Ella Anderson beauty Yeppoon website,https://html.duckduckgo.com/html/?q=Ella%20Anderson%20beauty%20Yeppoon%20website,verified_candidate_found,"Use the public Facebook and Instagram pages to confirm business-owned social evidence, then stage if no dedicated owned website is visible in the exact named search results.","Exact named search surfaced Facebook, Instagram, directories, and a Facebook booking post, but no clear dedicated owned website in the visible result set. Research only; no outreach performed."
2026-06-24,Luxura Hair,Luxura Hair Yeppoon website,https://html.duckduckgo.com/html/?q=Luxura%20Hair%20Yeppoon%20website,needs_manual_review,Do not stage unless the owned-site situation is clearer than the public Timely booking page and directory results.,"Exact named search surfaced a Timely booking page, Facebook, and directories, but the owned-site picture is ambiguous. Research only; no outreach performed."
2026-06-24,Her. Hair,Her. Hair Yeppoon Facebook,https://www.facebook.com/people/Her-Hair/61570529755917/,verified_candidate_found,Stage only if the named-search website gap remains clear after exact-query review.,Public Facebook metadata identifies Her. Hair as a Yeppoon hair stylist page. Research only; no outreach performed.
2026-06-24,Luxura Hair,Luxura Hair Yeppoon Facebook and booking page,https://www.facebook.com/luxura.hairr,needs_manual_review,Keep in research-only until the dedicated website status is clearer.,"Public Facebook metadata confirms an active Yeppoon salon page, but the website path appears to be a booking page rather than a clearly scoped marketing site. Research only; no outreach performed."
2026-06-24,Ella Anderson beauty,Ella Anderson beauty Yeppoon website,https://html.duckduckgo.com/html/?q=Ella%20Anderson%20beauty%20Yeppoon%20website; https://www.facebook.com/ellaandersonbeauty; https://www.instagram.com/eabeauty.studio/,verified_candidate_found,Run CEO loop; review intake evidence and approval queue before any promotion.,Candidate staged in prospect_intake.csv from public evidence only; no outreach performed.
2026-06-24,Her. Hair,Her. Hair Yeppoon website,https://html.duckduckgo.com/html/?q=Her.%20Hair%20Yeppoon%20website; https://www.facebook.com/people/Her-Hair/61570529755917/,verified_candidate_found,Run CEO loop; review intake evidence and approval queue before any promotion.,Candidate staged in prospect_intake.csv from public evidence only; no outreach performed.
2026-06-24,CQ Gutter Cleaning,gutter cleaning Yeppoon facebook,https://www.facebook.com/profile.php?id=61591087210532,verified_candidate_found,Run CEO loop; review intake evidence and approval queue before any promotion.,Candidate staged in prospect_intake.csv from public evidence only; no outreach performed.
