date,rank,region,niche,lane_status,attempts_logged,intake_matches,priority_score,recommended_query,next_action,safety_gate,notes
2026-06-24,16,Emu Park,cafe restaurant bar catering,verify-gap,1,1,53,"""Emu Park"" ""cafe restaurant bar catering"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,17,Yeppoon,cafe restaurant bar catering,verify-gap,1,1,53,"""Yeppoon"" ""cafe restaurant bar catering"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,18,Kawana Rockhampton,cafe restaurant bar catering,refresh-later,3,2,46,"""Kawana Rockhampton"" ""cafe restaurant bar catering"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,19,Emu Park,cleaning pest control,refresh-later,1,2,41,"""Emu Park"" ""cleaning pest control"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,20,Emu Park,art gallery workshops market,verify-gap,4,1,33,"""Emu Park"" ""art gallery workshops market"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,21,Yeppoon,cleaning pest control,verify-gap,6,1,33,"""Yeppoon"" ""cleaning pest control"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,22,Emu Park,landscaping excavation mini digger,refresh-later,2,2,31,"""Emu Park"" ""landscaping excavation mini digger"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,23,Rockhampton,cafe restaurant bar catering,refresh-later,3,2,21,"""Rockhampton"" ""cafe restaurant bar catering"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,24,Yeppoon,art gallery workshops market,refresh-later,7,2,21,"""Yeppoon"" ""art gallery workshops market"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,25,Yeppoon,salon beauty barber,refresh-later,6,2,21,"""Yeppoon"" ""salon beauty barber"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
