date,rank,region,niche,lane_status,attempts_logged,intake_matches,priority_score,recommended_query,next_action,safety_gate,notes
2026-06-17,13,Rockhampton,landscaping excavation mini digger,try-new-source,3,0,70,"""Rockhampton"" ""landscaping excavation mini digger"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,14,Rockhampton,salon beauty barber,try-new-source,3,0,70,"""Rockhampton"" ""salon beauty barber"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,15,Yeppoon,cleaning pest control,try-new-source,3,0,70,"""Yeppoon"" ""cleaning pest control"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,16,Yeppoon,landscaping excavation mini digger,try-new-source,3,0,70,"""Yeppoon"" ""landscaping excavation mini digger"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,17,Kawana Rockhampton,cafe restaurant bar catering,refresh-later,1,2,66,"""Kawana Rockhampton"" ""cafe restaurant bar catering"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,18,Emu Park,cafe restaurant bar catering,verify-gap,1,1,53,"""Emu Park"" ""cafe restaurant bar catering"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,19,Yeppoon,cafe restaurant bar catering,verify-gap,1,1,53,"""Yeppoon"" ""cafe restaurant bar catering"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,20,Rockhampton,cafe restaurant bar catering,refresh-later,1,2,41,"""Rockhampton"" ""cafe restaurant bar catering"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,21,Capricorn Coast,cleaning pest control,verify-gap,3,1,33,"""Capricorn Coast"" ""cleaning pest control"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,22,Emu Park,art gallery workshops market,verify-gap,4,1,33,"""Emu Park"" ""art gallery workshops market"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,23,Emu Park,cleaning pest control,refresh-later,4,2,21,"""Emu Park"" ""cleaning pest control"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,24,Emu Park,landscaping excavation mini digger,refresh-later,6,2,21,"""Emu Park"" ""landscaping excavation mini digger"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,25,Yeppoon,art gallery workshops market,refresh-later,6,2,21,"""Yeppoon"" ""art gallery workshops market"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
